cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
Windbrisk Heights,Modern Event Deck 2014,0,4,0.53,0,cardkingdom,None,10,0,%
Lavaborn Muse,Duel Decks: Sorin vs. Tibalt,0,1,0.1,0.25,Bulk,trollandtoad,99,37,%
Steam Augury,Duel Decks: Speed vs. Cunning,0,1,0.1,0.25,Bulk,trollandtoad,99,1,%
Windreaver,Duel Decks: Venser vs. Koth,0,2,0.1,0.25,Bulk,trollandtoad,99,2,%
Pyrrhic Revival,Eventide,0,1,0.1,0.25,Bulk,trollandtoad,99,2,%
Parallax Inhibitor,Nemesis,0,2,0.1,0.25,Bulk,trollandtoad,99,5,%
Fleeting Image,Urza's Legacy,0,1,0.1,0.25,Bulk,trollandtoad,99,6,%
Lavaball Trap,Zendikar,0,1,0.1,0.25,Bulk,trollandtoad,99,11,%
Thousand Winds,Duel Decks: Speed vs. Cunning,0,1,0.1,0.26,Bulk,tcgplayer,99,,%
Scourge of Fleets,Duel Decks: Elspeth vs. Kiora,0,3,0.1,0.27,Bulk,tcgplayer,99,,%
Sphinx of Uthuun,Duel Decks: Venser vs. Koth,0,1,0.1,0.28,Bulk,tcgplayer,99,,%
Sol'kanar the Swamp King,"Time Spiral ""Timeshifted""",0,1,0.04,0.28,abugames,tcgplayer,99,,%
Pulse of the Dross,Darksteel,0,1,0.1,0.29,Bulk,tcgplayer,99,,%
Hold the Line,Duel Decks: Speed vs. Cunning,0,1,0.1,0.29,Bulk,tcgplayer,99,,%
Ogre Battledriver,Duel Decks: Speed vs. Cunning,0,2,0.1,0.29,Bulk,tcgplayer,99,,%
Consume the Meek,Duel Decks: Zendikar vs. Eldrazi,0,4,0.1,0.29,Bulk,tcgplayer,99,,%
Necrotic Plague,Magic 2011,0,1,0.1,0.29,Bulk,tcgplayer,99,,%
Pentavus,Mirrodin,0,1,0.1,0.29,Bulk,tcgplayer,99,,%
Devout Lightcaster,Zendikar,0,1,0.1,0.29,Bulk,tcgplayer,99,,%
False Dawn,Apocalypse,0,1,0.1,0.3,Bulk,trollandtoad,99,2,%
Extractor Demon,Conflux,0,1,0.1,0.3,Bulk,tcgplayer,99,,%
Turn the Tables,Darksteel,0,1,0.1,0.3,Bulk,trollandtoad,99,1,%
Plasm Capture,Duel Decks: Elspeth vs. Kiora,0,1,0.1,0.3,Bulk,tcgplayer,99,,%
Magmaw,Duel Decks: Zendikar vs. Eldrazi,0,7,0.1,0.3,Bulk,tcgplayer,99,,%
Gigantomancer,Rise of the Eldrazi,0,1,0.1,0.3,Bulk,tcgplayer,99,,%
"Soramaro, First to Dream",Saviors of Kamigawa,0,1,0.1,0.3,Bulk,trollandtoad,99,1,%
Archon of Redemption,Worldwake,0,1,0.1,0.3,Bulk,tcgplayer,99,,%
Gigantiform,Zendikar,0,4,0.1,0.3,Bulk,tcgplayer,99,,%
Gleancrawler,Duel Decks: Izzet vs. Golgari,0,2,0.1,0.31,Bulk,tcgplayer,99,,%
Seer's Sundial,Duel Decks: Zendikar vs. Eldrazi,0,2,0.1,0.31,Bulk,tcgplayer,99,,%
Manabarbs,Magic 2010,0,1,0.1,0.31,Bulk,tcgplayer,99,,%
Mind Shatter,Magic 2010,0,2,0.1,0.31,Bulk,tcgplayer,99,,%
Liar's Pendulum,Mirrodin,0,1,0.1,0.31,Bulk,tcgplayer,99,,%
Void,"Time Spiral ""Timeshifted""",0,1,0.04,0.31,abugames,tcgplayer,99,,%
Titanic Ultimatum,Ajani vs. Nicol Bolas,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
Sages of the Anima,Alara Reborn,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
Kodama of the Center Tree,Betrayers of Kamigawa,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
"Kumano, Master Yamabushi",Champions of Kamigawa,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
Djinn Illuminatus,Duel Decks: Izzet vs. Golgari,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
Hellion Eruption,Duel Decks: Zendikar vs. Eldrazi,0,6,0.1,0.32,Bulk,tcgplayer,99,,%
Dearly Departed,Innistrad,0,5,0.1,0.32,Bulk,tcgplayer,99,,%
Destructive Force,Magic 2011,0,2,0.1,0.32,Bulk,tcgplayer,99,,%
Tribal Golem,Onslaught,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
Baneful Omen,Rise of the Eldrazi,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
Sphinx-Bone Wand,Rise of the Eldrazi,0,1,0.1,0.32,Bulk,tcgplayer,99,,%
Swirl the Mists,Champions of Kamigawa,0,1,0.1,0.33,Bulk,tcgplayer,99,,%
