Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Rarity,Price
1,0,Abbey Matron,Homelands,103,Near Mint,English,,,,,,,,,Common,$0.18
24,8,Abbot of Keral Keep,Magic Origins,127,Near Mint,English,,,,,,,,175,Rare,$2.37
64,8,Abhorrent Overlord,Theros,75,Near Mint,English,,,,,,,,25,Rare,$0.26
1,0,Abolish,Prophecy,1,Near Mint,English,,,,,,,,,Uncommon,$0.24
2,0,Abomination,Legends,1,Near Mint,English,,,,,,,,,Uncommon,$0.45
2,0,About Face,Urza's Legacy,73,Near Mint,English,,,,,,,,,Common,$0.16
23,8,Abrupt Decay,Return to Ravnica,141,Near Mint,English,,,,,,,,1075,Rare,$10.93
1,0,Absorb,Invasion,226,Near Mint,English,,,,,,,,,Rare,$3.09
2,0,Abyssal Gatekeeper,Weatherlight,1,Near Mint,English,,,,,,,,,Common,$0.19
1,0,Abyssal Specter,Classic Sixth Edition,110,Near Mint,English,,,,,,,,,Uncommon,$0.25
55,8,Abzan Ascendancy,Khans of Tarkir,160,Near Mint,English,,,,,,,,25,Rare,$0.26
1,0,Academy Researchers,Urza's Saga,58,Near Mint,English,,,,,,,,,Uncommon,$0.22
9,0,Accumulated Knowledge,Nemesis,26,Near Mint,English,,,,,,,,,Common,$0.29
1,0,Acidic Sliver,Stronghold,138,Near Mint,English,,,,,,,,,Uncommon,$0.31
1,0,Acidic Soil,Urza's Saga,172,Near Mint,English,,,,,,,,,Uncommon,$0.26
2,0,Acridian,Urza's Saga,230,Near Mint,English,,,,,,,,,Common,$0.14
4,0,Active Volcano,Legends,130,Near Mint,English,,,,,,,,,Common,$0.18
1,0,Adarkar Sentinel,Ice Age,281,Near Mint,English,,,,,,,,,Uncommon,$0.17
1,0,Adarkar Unicorn,Ice Age,225,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Adarkar Wastes,Ice Age,326,Near Mint,English,,,,,,,,,Rare,$7.58
1,1,Adarkar Wastes,Ninth Edition,317,Near Mint,English,,,,,,,,1000,Rare,$9.51
3,3,Adarkar Wastes,Tenth Edition,347,Near Mint,English,,,,,,,,1175,Rare,$10.88
2,0,Addle,Invasion,91,Near Mint,English,,,,,,,,,Uncommon,$0.21
24,8,Advent of the Wurm,Dragon's Maze,51,Near Mint,English,,,,,,,,50,Rare,$0.75
1,0,Adventurers' Guildhouse,Legends,245,Near Mint,English,,,,,,,,,Uncommon,$0.94
4,4,Aegis Angel,Magic 2012,1,Near Mint,English,,,,,,,,50,Rare,$0.64
7,7,Aegis Angel,Magic 2015 Core Set,270,Near Mint,English,,,,,,,,50,Rare,$0.49
9,8,Aegis Angel,Magic Origins,273,Near Mint,English,,,,,,,,0,Rare,$0.59
11,8,Aegis of the Gods,Journey into Nyx,1,Near Mint,English,,,,,,,,100,Rare,$1.19
2,0,Aeolipile,Fallen Empires,166,Near Mint,English,,,,,,,,,Rare,$0.40
2,0,Aerathi Berserker,Legends,131,Near Mint,English,,,,,,,,,Uncommon,$0.56
