cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
,,0,,,0,,None,,0,%
Dragon Broodmother,Alara Reborn,0,1,10.51,14.02,isleofcards,isleofcards,10,2,%
"Karrthus, Tyrant of Jund",Alara Reborn,0,1,11.06,14.28,isleofcards,isleofcards,11,1,%
Lord of Extinction,Alara Reborn,0,1,11.31,16.17,isleofcards,isleofcards,4,6,%
Sen Triplets,Alara Reborn,0,1,17.44,23.73,isleofcards,isleofcards,8,4,%
Balduvian Trading Post,Alliances,0,1,0.16,0.41,cardkingdom,tcgplayer,19,,%
Sheltered Valley,Alliances,0,1,0.12,0.36,abugames,tcgplayer,20,,%
Soldevi Excavations,Alliances,0,1,2,7.47,magicdotcards,tcgplayer,,,%
Amulet of Kroog,Antiquities,0,1,0.02,0.19,abugames,tcgplayer,99,,%
Argivian Archaeologist,Antiquities,0,1,14.5,18.82,cardkingdom,tcgplayer,10,,%
Argivian Blacksmith,Antiquities,0,1,0.02,0.18,abugames,tcgplayer,99,,%
Argothian Pixies,Antiquities,0,1,0.02,0.19,abugames,tcgplayer,99,,%
Argothian Treefolk,Antiquities,0,1,0.02,0.19,abugames,tcgplayer,99,,%
Artifact Blast,Antiquities,0,4,0.02,0.22,abugames,tcgplayer,99,,%
Artifact Possession,Antiquities,0,2,0.02,0.19,abugames,tcgplayer,99,,%
Artifact Ward,Antiquities,0,3,0.02,0.19,abugames,tcgplayer,99,,%
Ashnod's Altar,Antiquities,0,1,3.77,11.68,abugames,tcgplayer,4,,%
Ashnod's Transmogrant,Antiquities,0,1,0.09,0.36,abugames,tcgplayer,30,,%
Battering Ram,Antiquities,0,1,0.02,0.19,abugames,tcgplayer,99,,%
Circle of Protection: Artifacts,Antiquities,0,1,0.43,4.44,abugames,tcgplayer,6,,%
Citanul Druid,Antiquities,0,1,0.28,0.6,abugames,tcgplayer,4,,%
Clay Statue,Antiquities,0,1,0.02,0.18,abugames,tcgplayer,99,,%
Crumble,Antiquities,0,4,0.02,0.19,abugames,tcgplayer,99,,%
Cursed Rack,Antiquities,0,1,0.25,0.6,adventureson,tcgplayer,9,,%
Drafna's Restoration,Antiquities,0,1,0.02,0.24,abugames,tcgplayer,99,,%
Dragon Engine,Antiquities,0,3,0.02,0.23,abugames,tcgplayer,99,,%
Feldon's Cane,Antiquities,0,1,1.75,1.93,cardkingdom,tcgplayer,10,,%
Grapeshot Catapult,Antiquities,0,1,0.02,0.19,abugames,tcgplayer,99,,%
Jalum Tome,Antiquities,0,1,0.95,0.75,abugames,tcgplayer,4,,%
Mightstone,Antiquities,0,1,0.14,0.45,abugames,tcgplayer,99,,%
Mishra's Factory,Antiquities,0,1,4.73,0,adventureson,None,10,0,%
Mishra's Workshop,Antiquities,0,1,562.59,999.95,abugames,tcgplayer,12,,%
Onulet,Antiquities,0,1,0.02,0.36,abugames,tcgplayer,99,,%
Ornithopter,Antiquities,0,1,0.58,1.86,abugames,tcgplayer,20,,%
Phyrexian Gremlins,Antiquities,0,3,0.02,0.19,abugames,tcgplayer,99,,%
Power Artifact,Antiquities,0,1,39.99,39.99,adventureson,tcgplayer,18,,%
