Name,Edition,Count,Condition,Rarity,Buy List Amount,Retail Amount,#N/A,#N/A,,Trade In:,#N/A
Abbey Matron,Homelands,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Abbot of Keral Keep,Magic Origins,24,Near Mint,Rare,$.100,$1.75,$2.400,$42.00,,,
Abhorrent Overlord,Theros,64,Near Mint,Rare,$.050,$0.30,$3.200,$19.20,,,
Abolish,Prophecy,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Abomination,Legends,2,Near Mint,Uncommon,$.003,$0.50,$.006,$1.00,,,
About Face,Urza's Legacy,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Abrupt Decay,Return to Ravnica,23,Near Mint,Rare,$5.500,$11.00,$126.500,$253.00,,,
Absorb,Invasion,1,Near Mint,Rare,$.750,$3.00,$.750,$3.00,,,
Abyssal Gatekeeper,Weatherlight,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Abyssal Specter,Classic Sixth Edition,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Abzan Ascendancy,Khans of Tarkir,55,Near Mint,Rare,$.050,$0.30,$2.750,$16.50,,,
Academy Researchers,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Accumulated Knowledge,Nemesis,9,Near Mint,Common,$.003,$0.25,$.027,$2.25,,,
Acidic Sliver,Stronghold,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Acidic Soil,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Acridian,Urza's Saga,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Active Volcano,Legends,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Adarkar Sentinel,Ice Age,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Adarkar Unicorn,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Adarkar Wastes,Ninth Edition,1,Near Mint,Rare,$4.000,$9.75,$4.000,$9.75,,,
Adarkar Wastes,Ice Age,1,Near Mint,Rare,$5.750,$8.00,$5.750,$8.00,,,
Adarkar Wastes,Tenth Edition,3,Near Mint,Rare,$5.000,$11.50,$15.000,$34.50,,,
Addle,Invasion,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
