Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,Rarity,My Price,Price
1,1,Abbey Matron,Homelands,240,Near Mint,English,0,0,0,0,0,0,0,Common,$0.15,$0.18
24,8,Abbot of Keral Keep,Magic Origins,71,Near Mint,English,0,0,0,0,0,0,0,Rare,$1.75,$2.37
64,8,Abhorrent Overlord,Theros,148,Near Mint,English,0,0,0,0,0,0,0,Rare,$0.30,$0.26
1,1,Abolish,Prophecy,240,Near Mint,English,0,0,0,0,0,0,0,Uncommon,$0.15,$0.24
2,2,Abomination,Legends,156,Near Mint,English,0,0,0,0,0,0,0,Uncommon,$0.50,$0.45
2,2,About Face,Urza's Legacy,127,Near Mint,English,0,0,0,0,0,0,0,Common,$0.15,$0.16
23,8,Abrupt Decay,Return to Ravnica,116,Near Mint,English,0,0,0,0,0,0,0,Rare,$11.00,$10.93
1,1,Absorb,Invasion,88,Near Mint,English,0,0,0,0,0,0,0,Rare,$3.00,$3.09
2,2,Abyssal Gatekeeper,Weatherlight,51,Near Mint,English,0,0,0,0,0,0,0,Common,$0.15,$0.19
1,1,Abyssal Specter,Classic Sixth Edition,19,Near Mint,English,0,0,0,0,0,0,0,Uncommon,$0.25,$0.25
55,8,Abzan Ascendancy,Khans of Tarkir,35,Near Mint,English,0,0,0,0,0,0,0,Rare,$0.30,$0.26
1,1,Academy Researchers,Urza's Saga,45,Near Mint,English,0,0,0,0,0,0,0,Uncommon,$0.15,$0.22
9,8,Accumulated Knowledge,Nemesis,110,Near Mint,English,0,0,0,0,0,0,0,Common,$0.25,$0.29
1,1,Acidic Sliver,Stronghold,256,Near Mint,English,0,0,0,0,0,0,0,Uncommon,$0.25,$0.31
1,1,Acidic Soil,Urza's Saga,257,Near Mint,English,0,0,0,0,0,0,0,Uncommon,$0.25,$0.26
2,2,Acridian,Urza's Saga,44,Near Mint,English,0,0,0,0,0,0,0,Common,$0.10,$0.14
4,4,Active Volcano,Legends,47,Near Mint,English,0,0,0,0,0,0,0,Common,$0.15,$0.18
1,1,Adarkar Sentinel,Ice Age,48,Near Mint,English,0,0,0,0,0,0,0,Uncommon,$0.15,$0.17
1,1,Adarkar Unicorn,Ice Age,205,Near Mint,English,0,0,0,0,0,0,0,Common,$0.10,$0.14
1,1,Adarkar Wastes,Ice Age,41,Near Mint,English,0,0,0,0,0,0,0,Rare,$8.00,$7.58
1,1,Adarkar Wastes,Ninth Edition,41,Near Mint,English,0,0,0,0,0,0,0,Rare,$9.75,$9.51
3,3,Adarkar Wastes,Tenth Edition,200,Near Mint,English,0,0,0,0,0,0,0,Rare,$11.50,$10.88
