Count,Tradelist Count,Name,Edition,My Price,Price
1,1,Abbey Matron,Homelands,0.18,$0.18
24,8,Abbot of Keral Keep,Magic Origins,1.63,$2.37
64,8,Abhorrent Overlord,Theros,0.28,$0.26
1,1,Abolish,Prophecy,0.24,$0.24
2,2,Abomination,Legends,0.43,$0.45
2,2,About Face,Urza's Legacy,0.18,$0.16
23,8,Abrupt Decay,Return to Ravnica,10.93,$10.93
1,1,Absorb,Invasion,3.03,$3.09
2,2,Abyssal Gatekeeper,Weatherlight,0.19,$0.19
1,1,Abyssal Specter,Classic Sixth Edition,0.24,$0.25
55,8,Abzan Ascendancy,Khans of Tarkir,0.28,$0.26
1,1,Academy Researchers,Urza's Saga,0.22,$0.22
9,8,Accumulated Knowledge,Nemesis,0.24,$0.29
1,1,Acidic Sliver,Stronghold,0.32,$0.31
1,1,Acidic Soil,Urza's Saga,0.27,$0.26
2,2,Acridian,Urza's Saga,0.16,$0.14
4,4,Active Volcano,Legends,0.19,$0.18
1,1,Adarkar Sentinel,Ice Age,0.18,$0.17
1,1,Adarkar Unicorn,Ice Age,0.17,$0.14
1,1,Adarkar Wastes,Ice Age,8.01,$7.58
1,1,Adarkar Wastes,Ninth Edition,9.64,$9.51
3,3,Adarkar Wastes,Tenth Edition,11.52,$10.88
2,2,Addle,Invasion,0.22,$0.21
24,8,Advent of the Wurm,Dragon's Maze,0.55,$0.75
1,1,Adventurers' Guildhouse,Legends,0.99,$0.94
4,4,Aegis Angel,Magic 2012,0.62,$0.64
7,7,Aegis Angel,Magic 2015 Core Set,0.5,$0.49
9,8,Aegis Angel,Magic Origins,0,$0.59
11,8,Aegis of the Gods,Journey into Nyx,1.07,$1.19
2,2,Aeolipile,Fallen Empires,0.42,$0.40
2,2,Aerathi Berserker,Legends,0,$0.56
2,2,Aether Barrier,Nemesis,0,$0.37
7,7,Aether Mutation,Apocalypse,0,$0.23
1,1,Aether Tide,Exodus,0,$0.15
33,8,Aetherling,Dragon's Maze,0,$0.61
28,8,Aetherspouts,Magic 2015 Core Set,0,$0.53
2,2,Afterlife,Mirage,0.2,$0.20
1,1,Afterlife,Mercadian Masques,0.2,$0.19
4,4,Agent of Shauku,Prophecy,0.17,$0.14
50,8,Agent of the Fates,Theros,0.3,$0.30
9,8,Aggressive Mining,Magic 2015 Core Set,0.27,$0.26
4,4,Aggressive Urge,Invasion,0.17,$0.14
4,4,Agonizing Demise,Invasion,0.17,$0.14
1,1,Agonizing Memories,Weatherlight,0.2,$0.21
13,8,Air Bladder,Nemesis,0.17,$0.14
1,1,Air Elemental,Revised Edition,0.18,$0.16
1,1,Aisling Leprechaun,Legends,0.23,$0.26
13,8,Ajani's Chosen,Magic 2014 Core Set,0.36,$0.34
4,4,"Ajani, Caller of the Pride",Magic 2013,5.22,$5.14
4,4,"Ajani, Mentor of Heroes",Journey into Nyx,12.38,$12.69
36,8,Akoum Firebird,Battle for Zendikar,0.57,$0.61
35,8,Akoum Hellkite,Battle for Zendikar,0.3,$0.27
40,8,Akroan Horse,Theros,0.25,$0.24
1,1,Alabaster Potion,Legends,0.2,$0.20
1,1,Alabaster Potion,Fourth Edition,0.14,$0.15
4,4,Alabaster Wall,Mercadian Masques,0.16,$0.14
1,1,Aladdin's Lamp,Revised Edition,0.35,$0.33
1,1,Albino Troll,Urza's Saga,0.32,$0.30
4,4,Alchemist's Refuge,Avacyn Restored,0.99,$0.98
1,1,Alchor's Tomb,Legends,2.86,$3.62
1,1,Aleatory,Mirage,0.22,$0.21
36,8,"Alesha, Who Smiles at Death",Fate Reforged,0.38,$0.39
4,4,Alexi's Cloak,Prophecy,0.2,$0.21
1,1,"Alexi, Zephyr Mage",Prophecy,0.42,$0.44
1,1,Alhammarret's Archive,Magic Origins,4.07,$4.31
33,8,"Alhammarret, High Arbiter",Magic Origins,0.36,$0.30
64,8,Aligned Hedron Network,Battle for Zendikar,0.33,$0.39
3,3,Allay,Exodus,0.2,$0.19
4,4,Alley Grifters,Mercadian Masques,0.18,$0.16
1,1,Allied Strategies,Planeshift,0.2,$0.20
64,8,Ally Encampment,Battle for Zendikar,0.81,$0.93
37,8,Alms Beast,Gatecrash,0.27,$0.25
30,8,Alpha Brawl,Dark Ascension,0.34,$0.32
3,3,Alpha Kavu,Planeshift,0.2,$0.18
9,8,Altar of the Brood,Khans of Tarkir,0.48,$0.47
31,8,Altered Ego,Shadows over Innistrad,0.36,$0.36
3,3,Aluren,Tempest,14.81,$13.89
30,8,Always Watching,Shadows over Innistrad,2,$2.09
1,1,Ambush Party,Homelands,0.17,$0.17
1,1,Amnesia,The Dark,0.6,$0.64
1,1,Amnesia,The Dark,0.6,$0.64
5,5,Amphibious Kavu,Planeshift,0.17,$0.14
4,4,Amrou Kithkin,Legends,0.19,$0.19
1,1,Amrou Kithkin,Fourth Edition,0.14,$0.15
1,1,Amulet of Kroog,Antiquities,0.19,$0.19
1,1,Amulet of Unmaking,Mirage,0.37,$0.33
4,4,An-Havva Township,Homelands,0.21,$0.20
4,4,Ana Disciple,Apocalypse,0.16,$0.14
7,7,Ana Sanctuary,Apocalypse,0.2,$0.18
1,1,Anaba Bodyguard,Classic Sixth Edition,0.14,$0.15
1,1,Anaba Shaman,Homelands,0.16,$0.15
1,1,Anaba Shaman,Classic Sixth Edition,0.14,$0.14
31,8,"Anafenza, Kin-Tree Spirit",Dragons of Tarkir,2,$2.08
44,8,"Anafenza, the Foremost",Khans of Tarkir,1.65,$1.68
1,1,Anarchist,Exodus,0.17,$0.15
30,8,Anax and Cymede,Theros,0.31,$0.28
4,4,Ancestral Mask,Mercadian Masques,0.74,$0.74
1,1,Ancestral Vision,Duel Decks: Jace vs. Chandra,47.18,$47.96
2,2,Ancient Hydra,Nemesis,0.21,$0.21
4,4,Ancient Kavu,Invasion,0.17,$0.14
1,1,Ancient Spider,Planeshift,0.34,$0.34
8,8,Ancient Spring,Invasion,0.18,$0.17
14,8,Angel of Deliverance,Shadows over Innistrad,0.3,$0.27
44,8,Angel of Flight Alabaster,Innistrad,0.36,$0.32
28,8,Angel of Glory's Rise,Avacyn Restored,0.35,$0.33
1,1,Angel of Mercy,Invasion,0.21,$0.20
15,8,Angel of Serenity,Return to Ravnica,1.34,$1.47
1,1,Angel's Trumpet,Urza's Legacy,0.26,$0.26
5,5,Angelfire Crusader,Apocalypse,0.16,$0.14
44,8,Angelic Captain,Battle for Zendikar,0.3,$0.27
2,2,Angelic Curator,Urza's Legacy,0.18,$0.16
4,4,Angelic Favor,Nemesis,0.21,$0.21
1,1,Angelic Overseer,Innistrad,2.22,$2.25
1,1,Angelic Page,Urza's Saga,0.18,$0.16
8,8,Angelic Skirmisher,Gatecrash,0.74,$0.73
32,8,Anger of the Gods,Theros,2.3,$2.24
2,2,Angry Mob,The Dark,0.24,$0.23
17,8,Anguished Unmaking,Shadows over Innistrad,1.86,$2.12
1,1,"Animar, Soul of Elements",Commander,23.92,$23.69
1,1,Animate Artifact,Revised Edition,0.19,$0.18
3,3,Animate Dead,Revised Edition,1.15,$1.14
4,4,Animate Land,Nemesis,0.22,$0.23
34,8,Animist's Awakening,Magic Origins,0.69,$0.98
4,4,Ankh of Mishra,Revised Edition,0.58,$0.52
1,1,Ankh of Mishra,Classic Sixth Edition,0.74,$0.80
35,8,Ankle Shanker,Khans of Tarkir,0.29,$0.27
3,3,Annihilate,Invasion,0.21,$0.20
2,2,Annul,Urza's Saga,0.17,$0.16
56,8,"Anthousa, Setessan Hero",Theros,0.26,$0.23
1,1,Anti-Magic Aura,Legends,0.21,$0.21
1,1,Apathy,Weatherlight,0.17,$0.14
1,1,Apprentice Necromancer,Urza's Destiny,1.49,$1.45
1,1,Apprentice Wizard,The Dark,1,$1.03
1,1,Apprentice Wizard,Fourth Edition,0.14,$0.17
8,8,Arachnus Spinner,Magic 2012,0.29,$0.26
27,8,Arashin Foremost,Dragons of Tarkir,0.59,$0.61
28,8,Arashin Sovereign,Dragons of Tarkir,0.36,$0.32
19,8,Arbiter of the Ideal,Born of the Gods,0.27,$0.26
47,8,Arbor Colossus,Theros,0.26,$0.25
2,2,Arboria,Legends,9.65,$8.85
1,1,Arc Lightning,Urza's Saga,0.19,$0.16
5,5,Arc Mage,Nemesis,0.19,$0.20
