TCGplayer Id,Product Line,Total Quantity,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Add to Quantity,TCG Marketplace Price,Photo URL
393972,Magic,2,Aether Revolt,Aetherwind Basker,,104,M,Lightly Played,0.24,,1.57,0.08,0,0.28,
505246,Magic,3,Battle for Zendikar,Quarantine Field,,43,M,Lightly Played,0.26,0.1,1.59,0.1,0,0.28,
853523,Magic,3,Dark Ascension,Helvault,,151,M,Lightly Played,0.27,0.25,1.64,0.15,0,0.25,
2896355,Magic,2,Magic 2015 (M15),Soul of Ravnica,,78,M,Lightly Played,0.28,,1.61,0.12,0,0.21,
2896365,Magic,3,Magic 2015 (M15),Soul of Shandalar,,163,M,Lightly Played,0.28,0.23,1.63,0.14,0,0.22,
1277377,Magic,12,Fate Reforged,Whisperwood Elemental,,145,M,Near Mint,0.29,0.29,1.62,0.13,0,0.75,
3200230,Magic,1,Scars of Mirrodin,Molten-Tail Masticore,,177,M,Lightly Played,0.29,0.22,1.63,0.14,0,0.24,
1131782,Magic,15,Theros,Underworld Cerberus,,208,M,Near Mint,0.31,0.25,1.69,0.2,0,0.25,
1076429,Magic,60,Fate Reforged,Whisperwood Elemental,,145,M,Lightly Played,0.31,,1.59,0.1,0,0.36,
3325673,Magic,4,Shadows over Innistrad,Wolf of Devil's Breach,,192,M,Lightly Played,0.31,0.29,1.59,0.1,0,0.26,
871880,Magic,5,Dragon's Maze,Deadbridge Chant,,63,M,Lightly Played,0.32,,1.68,0.19,0,0.78,
3156579,Magic,3,Eldritch Moon,Gisa and Geralf,,183,M,Near Mint,0.34,,1.74,0.25,0,0.41,
3457521,Magic,1,Ixalan,Rowdy Crew,,159,M,Near Mint,0.34,0.26,1.69,0.2,0,0.29,
871859,Magic,3,Dragon's Maze,Council of the Absolute,,62,M,Lightly Played,0.34,0.25,1.58,0.09,0,0.2,
2898918,Magic,13,Magic Origins,Disciple of the Ring,,53,M,Lightly Played,0.35,0.25,1.69,0.2,0,0.23,
1132813,Magic,11,Theros,Hythonia the Cruel,,91,M,Near Mint,0.36,0.41,1.74,0.25,0,0.33,
1131761,Magic,3,Innistrad,Skaab Ruinator,,77,M,Lightly Played,0.36,,1.63,0.14,0,0.41,
1182430,Magic,2,Kaladesh,"Rashmi, Eternities Crafter",,184,M,Lightly Played,0.36,,1.8,0.31,0,0.8,
1226892,Magic,24,Khans of Tarkir,Pearl Lake Ancient,,49,M,Lightly Played,0.36,0.38,1.68,0.19,0,0.41,
1278009,Magic,4,Fate Reforged,Torrent Elemental,,56,M,Near Mint,0.37,,1.76,0.27,0,0.29,
3413947,Magic,12,Hour of Devastation,Majestic Myriarch,,122,M,Near Mint,0.37,,1.72,0.23,0,0.33,
1042564,Magic,13,Return to Ravnica,"Isperia, Supreme Judge",,171,M,Near Mint,0.37,0.3,1.59,0.1,0,0.26,
852271,Magic,5,Dark Ascension,Falkenrath Aristocrat,,138,M,Lightly Played,0.37,,1.82,0.33,0,0.3,
3042774,Magic,29,Oath of the Gatewatch,Sphinx of the Final Word,,63,M,Near Mint,0.38,,1.77,0.28,0,0.82,
2736963,Magic,1,Magic 2014 (M14),Windreader Sphinx,,81,M,Lightly Played,0.38,,1.72,0.23,0,0.26,
3098972,Magic,10,Return to Ravnica,Epic Experiment,,159,M,Lightly Played,0.38,0.29,1.79,0.3,0,0.38,
1045316,Magic,19,Return to Ravnica,Armada Wurm,,143,M,Near Mint,0.39,,1.78,0.29,0,0.45,
3201590,Magic,25,Kaladesh,Cataclysmic Gearhulk,,9,M,Near Mint,0.4,0.4,1.69,0.2,0,0.26,
2955487,Magic,3,New Phyrexia,Etched Monstrosity,,135,M,Lightly Played,0.4,0.4,1.69,0.2,0,0.32,
3044037,Magic,6,Oath of the Gatewatch,Sphinx of the Final Word,,63,M,Lightly Played,0.41,,1.74,0.25,0,0.63,
760216,Magic,14,Dark Ascension,Falkenrath Aristocrat,,138,M,Near Mint,0.42,,1.85,0.36,0,0.59,
3464438,Magic,3,Ixalan,Overflowing Insight,,66,M,Near Mint,0.43,,1.74,0.25,0,0.44,
1255034,Magic,31,Khans of Tarkir,Pearl Lake Ancient,,49,M,Near Mint,0.43,0.48,1.84,0.35,0,0.37,
3325961,Magic,4,Amonkhet,Kefnet the Mindful,,59,M,Near Mint,0.45,0.43,1.72,0.23,0,0.45,
1124709,Magic,2,Magic 2014 (M14),"Chandra, Pyromaster",,132,M,Near Mint,0.46,,1.92,0.43,0,0.91,
760343,Magic,14,Dark Ascension,Vorapede,,131,M,Near Mint,0.47,,1.79,0.3,0,0.71,
501270,Magic,7,Innistrad,Essence of the Wild,,178,M,Near Mint,0.47,0.4,1.78,0.29,0,0.35,
501267,Magic,1,Innistrad,Skaab Ruinator,,77,M,Near Mint,0.47,,1.74,0.25,0,0.64,
1228458,Magic,3,Khans of Tarkir,See the Unwritten,,149,M,Lightly Played,0.47,,1.94,0.45,0,0.49,
3326577,Magic,2,Theros,Ashen Rider,,187,M,Lightly Played,0.47,,1.74,0.25,0,0.31,
936908,Magic,3,Magic 2013 (M13),Serra Avatar,,32,M,Near Mint,0.48,,1.89,0.4,0,0.39,
1043475,Magic,12,Return to Ravnica,Epic Experiment,,159,M,Near Mint,0.48,0.4,1.77,0.28,0,0.42,
937215,Magic,1,Dragon's Maze,Savageborn Hydra,,100,M,Lightly Played,0.48,,1.88,0.39,0,0.42,
3092952,Magic,2,Oath of the Gatewatch,World Breaker,,126,M,Lightly Played,0.49,0.49,1.68,0.19,0,0.79,
3258560,Magic,43,Aether Revolt,Aethertide Whale,,27,R,Near Mint,0.08,,1.5,0.01,0,0.14,
2900986,Magic,8,Magic Origins,Shivan Dragon,,285,R,Near Mint,0.08,,1.56,0.07,0,0.22,
2949759,Magic,11,Magic Origins,Priest of the Blood Rite,,112,R,Lightly Played,0.08,,1.53,0.04,0,0.17,
3093200,Magic,2,Return to Ravnica,Archon of the Triumvirate,,142,R,Lightly Played,0.08,,1.53,0.04,0,0.06,
1277487,Magic,20,Fate Reforged,Sage-Eye Avengers,,50,R,Near Mint,0.09,,1.54,0.05,0,0.08,
1226881,Magic,10,Magic 2015 (M15),Mahamoti Djinn,,275,R,Near Mint,0.09,,1.5,0.01,0,0.06,
395823,Magic,1,Amonkhet,Dispossess,,86,R,Lightly Played,0.09,0.04,1.53,0.04,0,0.08,
414442,Magic,8,Amonkhet,Prepare // Fight,,220,R,Lightly Played,0.09,,1.57,0.08,0,0.07,
506825,Magic,2,Born of the Gods,Eater of Hope,,66,R,Lightly Played,0.09,,1.54,0.05,0,0.07,
853447,Magic,13,Dark Ascension,Havengul Runebinder,,39,R,Lightly Played,0.09,,1.57,0.08,0,0.13,
1076493,Magic,4,Gatecrash,Alms Beast,,141,R,Lightly Played,0.09,,1.53,0.04,0,0.06,
1090494,Magic,2,Gatecrash,Wrecking Ogre,,112,R,Lightly Played,0.09,,1.54,0.05,0,0.06,
1231764,Magic,10,Magic 2012 (M12),Djinn of Wishes,,51,R,Lightly Played,0.09,,1.54,0.05,0,0.07,
3156549,Magic,38,Eldritch Moon,Bloodhall Priest,,181,R,Near Mint,0.1,,1.57,0.08,0,0.13,
3469471,Magic,12,Ixalan,Repeating Barrage,,156,R,Near Mint,0.1,,1.54,0.05,0,0.08,
3202332,Magic,20,Kaladesh,Verdant Crescendo,,273,R,Near Mint,0.1,,1.57,0.08,0,0.09,
1226931,Magic,9,Magic 2015 (M15),Shivan Dragon,,281,R,Near Mint,0.1,,1.54,0.05,0,0.09,
394707,Magic,3,Aether Revolt,Midnight Entourage,,66,R,Lightly Played,0.1,,1.52,0.03,0,0.06,
414226,Magic,1,Amonkhet,Heart-Piercer Manticore,,138,R,Lightly Played,0.1,,1.52,0.03,0,0.06,
871856,Magic,2,Dragon's Maze,Catch // Release,,125,R,Lightly Played,0.1,,1.54,0.05,0,0.12,
1277498,Magic,8,Magic 2013 (M13),Touch of the Eternal,,37,R,Lightly Played,0.1,,1.54,0.05,0,0.08,
3328547,Magic,12,Theros,Labyrinth Champion,,126,R,Lightly Played,0.1,,1.5,0.01,0,0.05,
3981310,Magic,7,Theros,Titan of Eternal Fire,,144,R,Lightly Played,0.1,,1.5,0.01,0,0.05,
3257870,Magic,1,Aether Revolt,Greenwheel Liberator,,108,R,Near Mint,0.11,,1.53,0.04,0,0.1,
1278099,Magic,24,Fate Reforged,Mastery of the Unseen,,19,R,Near Mint,0.11,,1.54,0.05,0,0.15,
3042589,Magic,50,Oath of the Gatewatch,Remorseless Punishment,,89,R,Near Mint,0.11,,1.54,0.05,0,0.11,
1131318,Magic,40,Theros,Ember Swallower,,120,R,Near Mint,0.11,0.08,1.52,0.03,0,0.15,
1131771,Magic,36,Theros,Polis Crusher,,198,R,Near Mint,0.11,0.05,1.5,0.01,0,0.08,
1132951,Magic,38,Theros,Prognostic Sphinx,,60,R,Near Mint,0.11,,1.56,0.07,0,0.12,
760172,Magic,5,Born of the Gods,Fated Conflagration,,94,R,Lightly Played,0.11,,1.53,0.04,0,0.09,
760604,Magic,7,Born of the Gods,Gild,,73,R,Lightly Played,0.11,,1.54,0.05,0,0.11,
1043239,Magic,3,Dragons of Tarkir,Myth Realized,,26,R,Lightly Played,0.11,,1.52,0.03,0,0.09,
1067428,Magic,23,Fate Reforged,Mastery of the Unseen,,19,R,Lightly Played,0.11,,1.53,0.04,0,0.09,
1077569,Magic,3,Gatecrash,Skarrg Goliath,,133,R,Lightly Played,0.11,,1.5,0.01,0,0.1,
1098335,Magic,1,Hour of Devastation,Hour of Glory,,65,R,Lightly Played,0.11,,1.5,0.01,0,0.08,
1182553,Magic,3,Kaladesh,Skyship Stalker,,130,R,Lightly Played,0.11,,1.53,0.04,0,0.14,
