TCGplayer Id,Product Line,Set Name,Product Name,Number,Rarity,Condition,Market Price,Direct Low,Low Price,Pending Quantity,Quantity,Add to Quantity,My Price
3257940,Magic,Aether Revolt,Aethergeode Miner,4,R,Near Mint,0.11,0.09,0.1,0,47,0,0.12
3257941,Magic,Aether Revolt,Aethergeode Miner,4,R,Lightly Played,0.11,0.08,0.08,0,2,0,0.12
3258810,Magic,Aether Revolt,Aethersphere Harvester,142,R,Near Mint,2.72,2.24,2.25,0,10,0,2.81
3258560,Magic,Aether Revolt,Aethertide Whale,27,R,Near Mint,0.1,0.1,0.1,0,46,0,0.1
3258561,Magic,Aether Revolt,Aethertide Whale,27,R,Lightly Played,0.08,0.08,0.08,0,6,0,0.08
3257970,Magic,Aether Revolt,Aetherwind Basker,104,M,Near Mint,0.3,0.25,0.2,0,20,0,0.28
3257971,Magic,Aether Revolt,Aetherwind Basker,104,M,Lightly Played,0.18,0.2,0.19,0,1,0,0.19
3258340,Magic,Aether Revolt,Aid from the Cowl,105,R,Near Mint,0.13,0.13,0.09,0,45,0,0.13
3258341,Magic,Aether Revolt,Aid from the Cowl,105,R,Lightly Played,0.12,0.09,0.1,0,5,0,0.12
3254164,Magic,Aether Revolt,Ajani Unyielding,127,M,Near Mint,2.11,2.51,1.74,0,2,0,2.29
3260039,Magic,Aether Revolt,Ajani's Aid,188,R,Near Mint,0.17,0.13,0.1,0,8,0,0.15
3258350,Magic,Aether Revolt,"Baral, Chief of Compliance",28,R,Near Mint,3.81,4.45,3.09,0,15,0,3.75
3258351,Magic,Aether Revolt,"Baral, Chief of Compliance",28,R,Lightly Played,3.91,3.85,3.81,0,1,0,3.8
3259700,Magic,Aether Revolt,Baral's Expertise,29,R,Near Mint,0.22,0.14,0.17,0,38,0,0.26
3259701,Magic,Aether Revolt,Baral's Expertise,29,R,Lightly Played,0.23,0.14,0.17,0,16,0,0.22
3258910,Magic,Aether Revolt,Battle at the Bridge,53,R,Near Mint,0.28,0.34,0.17,0,35,0,0.27
3258911,Magic,Aether Revolt,Battle at the Bridge,53,R,Lightly Played,0.32,0.32,0.25,0,6,0,0.33
3258570,Magic,Aether Revolt,Call for Unity,9,R,Near Mint,0.1,0.09,0.1,0,35,0,0.1
3258571,Magic,Aether Revolt,Call for Unity,9,R,Lightly Played,0.12,0.1,0.1,0,7,0,0.12
3255804,Magic,Aether Revolt,Consulate Crackdown,11,R,Near Mint,0.09,0.09,0.08,0,38,0,0.1
3255805,Magic,Aether Revolt,Consulate Crackdown,11,R,Lightly Played,0.08,0.07,0.07,0,6,0,0.08
3259000,Magic,Aether Revolt,Dark Intimations,128,R,Near Mint,0.18,0.09,0.1,0,40,0,0.18
3259001,Magic,Aether Revolt,Dark Intimations,128,R,Lightly Played,0.08,0.07,0.08,0,4,0,0.1
3258360,Magic,Aether Revolt,Disallow,31,R,Near Mint,4.59,4.79,4.74,0,17,0,4.97
3258361,Magic,Aether Revolt,Disallow,31,R,Lightly Played,4.34,,4.72,0,3,0,4.87
3258550,Magic,Aether Revolt,Exquisite Archangel,18,M,Near Mint,0.83,0.9,0.45,0,14,0,0.89
3258551,Magic,Aether Revolt,Exquisite Archangel,18,M,Lightly Played,0.81,,0.39,0,3,0,0.65
3257960,Magic,Aether Revolt,Freejam Regent,81,R,Near Mint,0.09,0.1,0.09,0,33,0,0.1
3257961,Magic,Aether Revolt,Freejam Regent,81,R,Lightly Played,0.07,0.1,0.08,0,4,0,0.07
3257980,Magic,Aether Revolt,Glint-Sleeve Siphoner,62,R,Near Mint,2.3,2.74,1.99,0,4,0,2.34
3257850,Magic,Aether Revolt,Gonti's Aether Heart,152,M,Near Mint,0.32,0.31,0.23,0,10,0,0.37
3257990,Magic,Aether Revolt,Greenbelt Rampager,107,R,Near Mint,0.46,0.51,0.25,0,26,0,0.42
3257991,Magic,Aether Revolt,Greenbelt Rampager,107,R,Lightly Played,0.37,0.53,0.2,0,7,0,0.4
3257870,Magic,Aether Revolt,Greenwheel Liberator,108,R,Near Mint,0.12,0.08,0.05,0,37,0,0.13
3257871,Magic,Aether Revolt,Greenwheel Liberator,108,R,Lightly Played,0.13,,0.08,0,8,0,0.11
3254396,Magic,Aether Revolt,Heart of Kiran,153,M,Near Mint,4.16,4.25,3.98,0,14,0,4.24
3254397,Magic,Aether Revolt,Heart of Kiran,153,M,Lightly Played,4.04,4.23,3.95,0,2,0,4.24
3259171,Magic,Aether Revolt,Herald of Anguish,64,M,Lightly Played,1.66,1.49,1.5,0,2,0,1.83
3259180,Magic,Aether Revolt,Heroic Intervention,109,R,Near Mint,3.53,,3.25,0,21,0,3.64
3259181,Magic,Aether Revolt,Heroic Intervention,109,R,Lightly Played,3.06,,3.24,0,3,0,3.12
3258600,Magic,Aether Revolt,Hope of Ghirapur,154,R,Near Mint,0.31,0.2,0.22,0,49,0,0.32
3258601,Magic,Aether Revolt,Hope of Ghirapur,154,R,Lightly Played,0.3,0.24,0.23,0,1,0,0.35
3258610,Magic,Aether Revolt,Indomitable Creativity,85,M,Near Mint,0.36,0.34,0.2,0,17,0,0.3
3258611,Magic,Aether Revolt,Indomitable Creativity,85,M,Lightly Played,0.33,0.35,0.33,0,5,0,0.36
3258430,Magic,Aether Revolt,Inspiring Statuary,160,R,Near Mint,0.41,0.39,0.29,0,24,0,0.41
3258431,Magic,Aether Revolt,Inspiring Statuary,160,R,Lightly Played,0.38,0.34,0.23,0,5,0,0.4
3259260,Magic,Aether Revolt,"Kari Zev, Skyship Raider",87,R,Near Mint,0.84,0.84,0.67,0,39,0,0.84
3259261,Magic,Aether Revolt,"Kari Zev, Skyship Raider",87,R,Lightly Played,0.91,0.85,0.71,0,5,0,0.94
3259270,Magic,Aether Revolt,Kari Zev's Expertise,88,R,Near Mint,0.39,0.38,0.2,0,39,0,0.36
3259271,Magic,Aether Revolt,Kari Zev's Expertise,88,R,Lightly Played,0.37,,0.21,0,1,0,0.37
3259320,Magic,Aether Revolt,Lifecrafter's Bestiary,162,R,Near Mint,1.53,1.65,0.99,0,35,0,1.39
3259321,Magic,Aether Revolt,Lifecrafter's Bestiary,162,R,Lightly Played,1.33,,1.06,0,5,0,1.44
3258620,Magic,Aether Revolt,Lightning Runner,90,M,Near Mint,0.23,0.23,0.22,0,25,0,0.23
3258621,Magic,Aether Revolt,Lightning Runner,90,M,Lightly Played,0.24,0.21,0.24,0,3,0,0.24
3258010,Magic,Aether Revolt,Mechanized Production,38,M,Near Mint,2.83,2.99,1.98,0,5,0,2.52
3258440,Magic,Aether Revolt,Merchant's Dockhand,163,R,Near Mint,0.08,0.09,0.05,0,42,0,0.09
3258441,Magic,Aether Revolt,Merchant's Dockhand,163,R,Lightly Played,0.06,0.09,0.05,0,8,0,0.06
3259360,Magic,Aether Revolt,Midnight Entourage,66,R,Near Mint,0.08,0.08,0.06,0,54,0,0.08
3255894,Magic,Aether Revolt,Oath of Ajani,131,R,Near Mint,0.2,0.14,0.1,0,28,0,0.2
3255895,Magic,Aether Revolt,Oath of Ajani,131,R,Lightly Played,0.22,0.1,0.1,0,1,0,0.21
3258650,Magic,Aether Revolt,Paradox Engine,169,M,Near Mint,8.03,9.62,7.38,0,3,0,7.64
3258040,Magic,Aether Revolt,Peacewalker Colossus,170,R,Near Mint,0.14,0.08,0.1,0,42,0,0.15
3258041,Magic,Aether Revolt,Peacewalker Colossus,170,R,Lightly Played,0.11,0.1,0.11,0,8,0,0.13
3257781,Magic,Aether Revolt,Pia's Revolution,91,R,Lightly Played,0.12,0.09,0.09,0,3,0,0.11
3258060,Magic,Aether Revolt,Planar Bridge,171,M,Near Mint,1.91,2.34,1.73,0,12,0,2.02
3258061,Magic,Aether Revolt,Planar Bridge,171,M,Lightly Played,1.72,,1.44,0,1,0,1.62
3254431,Magic,Aether Revolt,Quicksmith Rebel,93,R,Near Mint,0.11,,0.05,0,47,0,0.12
3254432,Magic,Aether Revolt,Quicksmith Rebel,93,R,Lightly Played,0.08,,0.08,0,5,0,0.08
3257152,Magic,Aether Revolt,Quicksmith Spy,41,R,Near Mint,0.08,,0.08,0,40,0,0.1
3257153,Magic,Aether Revolt,Quicksmith Spy,41,R,Lightly Played,0.08,0.08,0.08,0,3,0,0.1
3258470,Magic,Aether Revolt,Release the Gremlins,96,R,Near Mint,0.16,0.08,0.1,0,39,0,0.15
3258471,Magic,Aether Revolt,Release the Gremlins,96,R,Lightly Played,0.17,0.1,0.11,0,3,0,0.17
3258110,Magic,Aether Revolt,"Rishkar, Peema Renegade",122,R,Near Mint,1.1,1.05,0.95,0,14,0,1.29
3258111,Magic,Aether Revolt,"Rishkar, Peema Renegade",122,R,Lightly Played,1.05,1.02,1.18,0,1,0,1.18
3258490,Magic,Aether Revolt,Rishkar's Expertise,123,R,Near Mint,0.55,0.52,0.33,0,51,0,0.49
3258491,Magic,Aether Revolt,Rishkar's Expertise,123,R,Lightly Played,0.44,,0.4,0,8,0,0.47
3254421,Magic,Aether Revolt,Scrap Trawler,175,R,Near Mint,0.23,0.14,0.19,0,36,0,0.22
3254422,Magic,Aether Revolt,Scrap Trawler,175,R,Lightly Played,0.21,0.18,0.2,0,3,0,0.19
3258510,Magic,Aether Revolt,Secret Salvage,71,R,Near Mint,0.11,0.04,0.05,0,42,0,0.11
3258511,Magic,Aether Revolt,Secret Salvage,71,R,Lightly Played,0.07,0.05,0.05,0,1,0,0.06
3258690,Magic,Aether Revolt,Solemn Recruit,22,R,Near Mint,0.12,0.07,0.08,0,47,0,0.14
3258691,Magic,Aether Revolt,Solemn Recruit,22,R,Lightly Played,0.13,0.09,0.11,0,4,0,0.13
3258520,Magic,Aether Revolt,Spire of Industry,184,R,Near Mint,2.6,2.75,2.69,0,6,0,2.43
3258521,Magic,Aether Revolt,Spire of Industry,184,R,Lightly Played,2.32,,2.29,0,2,0,2.2
3257810,Magic,Aether Revolt,"Sram, Senior Edificer",23,R,Near Mint,0.52,0.51,0.27,0,37,0,0.5
3257811,Magic,Aether Revolt,"Sram, Senior Edificer",23,R,Lightly Played,0.51,0.53,0.29,0,1,0,0.43
3260049,Magic,Aether Revolt,Tezzeret's Betrayal,191,R,Near Mint,0.17,0.14,0.15,0,5,0,0.17
3260050,Magic,Aether Revolt,Tezzeret's Betrayal,191,R,Lightly Played,0.12,0.1,0.08,0,1,0,0.13
3257840,Magic,Aether Revolt,Whir of Invention,49,R,Near Mint,0.78,0.74,0.33,0,36,0,0.61
3257841,Magic,Aether Revolt,Whir of Invention,49,R,Lightly Played,0.64,0.54,0.6,0,1,0,0.65
3258185,Magic,Aether Revolt,"Yahenni, Undying Partisan",74,R,Near Mint,1.88,,0.7,0,30,0,1.65
3254401,Magic,Aether Revolt,Yahenni's Expertise,75,R,Near Mint,0.44,0.36,0.28,0,46,0,0.44
