Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Rarity,Price,match_name,match_edition,sellPrice,_merge,Reconstructed Tradelist Count,Trader Tools Sell Price,Reconstructed My Price,Reconciliation Status,Exception Reason
9,8,Aegis Angel,Magic Origins,273,Near Mint,English,,,,,,,,0.0,Rare,$0.59,aegis angel,magic origins,,left_only,8,,,Exception,"Name and edition exist, but pair does not match"
2,0,Aerathi Berserker,Legends,131,Near Mint,English,,,,,,,,,Uncommon,$0.56,aerathi berserker,legends,,left_only,2,,,Exception,Card name absent from Trader Tools
2,0,Aether Barrier,Nemesis,27,Near Mint,English,,,,,,,,,Rare,$0.37,aether barrier,nemesis,,left_only,2,,,Exception,Card name absent from Trader Tools
7,0,Aether Mutation,Apocalypse,91,Near Mint,English,,,,,,,,,Uncommon,$0.23,aether mutation,apocalypse,,left_only,7,,,Exception,Card name absent from Trader Tools
1,0,Aether Tide,Exodus,27,Near Mint,English,,,,,,,,,Common,$0.15,aether tide,exodus,,left_only,1,,,Exception,Card name absent from Trader Tools
4,0,Arena,Media Inserts,1,Near Mint,English,,,,,,,,,Special,$1.34,arena,media inserts,,left_only,4,,,Exception,Edition absent from Trader Tools
1,0,Assault // Battery,Invasion,295,Near Mint,English,,,,,,,,,Uncommon,$0.18,assault // battery,invasion,,left_only,1,,,Exception,Split card absent from Trader Tools
51,8,Beck // Call,Dragon's Maze,123,Near Mint,English,,,,,,,,0.0,Rare,$0.62,beck // call,dragon's maze,,left_only,8,,,Exception,Split card absent from Trader Tools
2,0,Brassclaw Orcs,Fallen Empires,100,Near Mint,English,,,,,,,,,Common,$0.18,brassclaw orcs,fallen empires,,left_only,2,,,Exception,Card name absent from Trader Tools
7,0,Brassclaw Orcs,Fallen Empires,101,Near Mint,English,,,,,,,,,Common,$0.15,brassclaw orcs,fallen empires,,left_only,7,,,Exception,Card name absent from Trader Tools
4,0,Brassclaw Orcs,Fallen Empires,102,Near Mint,English,,,,,,,,,Common,$0.18,brassclaw orcs,fallen empires,,left_only,4,,,Exception,Card name absent from Trader Tools
4,0,Brassclaw Orcs,Fallen Empires,103,Near Mint,English,,,,,,,,,Common,$0.18,brassclaw orcs,fallen empires,,left_only,4,,,Exception,Card name absent from Trader Tools
33,8,Breaking // Entering,Dragon's Maze,124,Near Mint,English,,,,,,,,0.0,Rare,$0.77,breaking // entering,dragon's maze,,left_only,8,,,Exception,Split card absent from Trader Tools
55,8,Catch // Release,Dragon's Maze,125,Near Mint,English,,,,,,,,0.0,Rare,$0.32,catch // release,dragon's maze,,left_only,8,,,Exception,Split card absent from Trader Tools
4,0,Combat Medic,Fallen Empires,133,Near Mint,English,,,,,,,,,Common,$0.16,combat medic,fallen empires,,left_only,4,,,Exception,Card name absent from Trader Tools
2,0,Combat Medic,Fallen Empires,134,Near Mint,English,,,,,,,,,Common,$0.16,combat medic,fallen empires,,left_only,2,,,Exception,Card name absent from Trader Tools
4,0,Combat Medic,Fallen Empires,135,Near Mint,English,,,,,,,,,Common,$0.16,combat medic,fallen empires,,left_only,4,,,Exception,Card name absent from Trader Tools
5,0,Combat Medic,Fallen Empires,136,Near Mint,English,,,,,,,,,Common,$0.14,combat medic,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
1,0,Deadly Insect,Alliances,64,Near Mint,English,,,,,,,,,Common,$0.18,deadly insect,alliances,,left_only,1,,,Exception,"Name and edition exist, but pair does not match"
1,0,Deadly Insect,Alliances,65,Near Mint,English,,,,,,,,,Common,$0.17,deadly insect,alliances,,left_only,1,,,Exception,"Name and edition exist, but pair does not match"
9,0,Dwarven Soldier,Fallen Empires,107,Near Mint,English,,,,,,,,,Common,$0.16,dwarven soldier,fallen empires,,left_only,8,,,Exception,Card name absent from Trader Tools
5,0,Dwarven Soldier,Fallen Empires,108,Near Mint,English,,,,,,,,,Common,$0.16,dwarven soldier,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
5,0,Dwarven Soldier,Fallen Empires,109,Near Mint,English,,,,,,,,,Common,$0.14,dwarven soldier,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
1,0,El-Hajjâj,Revised Edition,16,Near Mint,English,,,,,,,,,Rare,$0.25,el-hajjâj,revised edition,,left_only,1,,,Exception,Card name absent from Trader Tools
7,0,Fire // Ice,Apocalypse,128,Near Mint,English,,,,,,,,,Uncommon,$0.47,fire // ice,apocalypse,,left_only,7,,,Exception,Split card absent from Trader Tools
34,8,Flesh // Blood,Dragon's Maze,128,Near Mint,English,,,,,,,,0.0,Rare,$0.29,flesh // blood,dragon's maze,,left_only,8,,,Exception,Split card absent from Trader Tools
1,0,Forest,Invasion,348,Near Mint,English,,,,,,,,,BasicLand,$0.26,forest,invasion,,left_only,1,,,Exception,"Name and edition exist, but pair does not match"
5,0,Goblin War Drums,Fallen Empires,118,Near Mint,English,,,,,,,,,Common,$0.16,goblin war drums,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
6,0,Goblin War Drums,Fallen Empires,119,Near Mint,English,,,,,,,,,Common,$0.16,goblin war drums,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
5,0,Goblin War Drums,Fallen Empires,120,Near Mint,English,,,,,,,,,Common,$0.16,goblin war drums,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
3,0,Goblin War Drums,Fallen Empires,121,Near Mint,English,,,,,,,,,Common,$0.16,goblin war drums,fallen empires,,left_only,3,,,Exception,Card name absent from Trader Tools
6,0,Homarid Warrior,Fallen Empires,44,Near Mint,English,,,,,,,,,Common,$0.16,homarid warrior,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
5,0,Homarid Warrior,Fallen Empires,45,Near Mint,English,,,,,,,,,Common,$0.14,homarid warrior,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
5,0,Homarid Warrior,Fallen Empires,46,Near Mint,English,,,,,,,,,Common,$0.16,homarid warrior,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
2,0,Hungry Mist,Homelands,60,Near Mint,English,,,,,,,,,Common,$0.16,hungry mist,homelands,,left_only,2,,,Exception,Card name absent from Trader Tools
8,0,Hymn to Tourach,Fallen Empires,12,Near Mint,English,,,,,,,,,Common,$1.43,hymn to tourach,fallen empires,,left_only,8,,,Exception,Card name absent from Trader Tools
6,0,Hymn to Tourach,Fallen Empires,13,Near Mint,English,,,,,,,,,Common,$1.49,hymn to tourach,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
5,0,Hymn to Tourach,Fallen Empires,14,Near Mint,English,,,,,,,,,Common,$1.49,hymn to tourach,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
5,0,Hymn to Tourach,Fallen Empires,15,Near Mint,English,,,,,,,,,Common,$1.49,hymn to tourach,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
7,0,Icatian Javelineers,Fallen Empires,148,Near Mint,English,,,,,,,,,Common,$0.18,icatian javelineers,fallen empires,,left_only,7,,,Exception,Card name absent from Trader Tools
6,0,Icatian Javelineers,Fallen Empires,149,Near Mint,English,,,,,,,,,Common,$0.18,icatian javelineers,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
6,0,Icatian Javelineers,Fallen Empires,150,Near Mint,English,,,,,,,,,Common,$0.19,icatian javelineers,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
6,0,Icatian Scout,Fallen Empires,157,Near Mint,English,,,,,,,,,Common,$0.17,icatian scout,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
6,0,Icatian Scout,Fallen Empires,158,Near Mint,English,,,,,,,,,Common,$0.17,icatian scout,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
9,0,Icatian Scout,Fallen Empires,159,Near Mint,English,,,,,,,,,Common,$0.17,icatian scout,fallen empires,,left_only,8,,,Exception,Card name absent from Trader Tools
7,0,Icatian Scout,Fallen Empires,160,Near Mint,English,,,,,,,,,Common,$0.14,icatian scout,fallen empires,,left_only,7,,,Exception,Card name absent from Trader Tools
1,0,Ifh-Bíff Efreet,Arabian Nights,34,Poor,English,,,,,,,,,Rare,$21.42,ifh-bíff efreet,arabian nights,,left_only,1,,,Exception,Card name absent from Trader Tools
8,0,Illusion // Reality,Apocalypse,129,Near Mint,English,,,,,,,,,Uncommon,$0.17,illusion // reality,apocalypse,,left_only,8,,,Exception,Split card absent from Trader Tools
5,0,Initiates of the Ebon Hand,Fallen Empires,16,Near Mint,English,,,,,,,,,Common,$0.14,initiates of the ebon hand,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
4,0,Initiates of the Ebon Hand,Fallen Empires,17,Near Mint,English,,,,,,,,,Common,$0.16,initiates of the ebon hand,fallen empires,,left_only,4,,,Exception,Card name absent from Trader Tools
7,0,Initiates of the Ebon Hand,Fallen Empires,18,Near Mint,English,,,,,,,,,Common,$0.16,initiates of the ebon hand,fallen empires,,left_only,7,,,Exception,Card name absent from Trader Tools
2,0,Legions of Lim-Dûl,Ice Age,30,Near Mint,English,,,,,,,,,Common,$0.11,legions of lim-dûl,ice age,,left_only,2,,,Exception,Card name absent from Trader Tools
7,0,Life // Death,Apocalypse,130,Near Mint,English,,,,,,,,,Uncommon,$0.26,life // death,apocalypse,,left_only,7,,,Exception,Split card absent from Trader Tools
1,0,Lim-Dûl's Cohort,Ice Age,33,Near Mint,English,,,,,,,,,Common,$0.10,lim-dûl's cohort,ice age,,left_only,1,,,Exception,Card name absent from Trader Tools
9,8,Mahamoti Djinn,Magic Origins,278,Near Mint,English,,,,,,,,0.0,Rare,$0.49,mahamoti djinn,magic origins,,left_only,8,,,Exception,"Name and edition exist, but pair does not match"
8,0,Mindstab Thrull,Fallen Empires,19,Near Mint,English,,,,,,,,,Common,$0.17,mindstab thrull,fallen empires,,left_only,8,,,Exception,Card name absent from Trader Tools
5,0,Mindstab Thrull,Fallen Empires,20,Near Mint,English,,,,,,,,,Common,$0.18,mindstab thrull,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
5,0,Mindstab Thrull,Fallen Empires,21,Near Mint,English,,,,,,,,,Common,$0.17,mindstab thrull,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
4,0,Nalathni Dragon,Media Inserts,3,Near Mint,English,,,,,,,,,Special,$0.77,nalathni dragon,media inserts,,left_only,4,,,Exception,Name and edition absent from Trader Tools
6,0,Necrite,Fallen Empires,22,Near Mint,English,,,,,,,,,Common,$0.18,necrite,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
8,0,Necrite,Fallen Empires,23,Near Mint,English,,,,,,,,,Common,$0.18,necrite,fallen empires,,left_only,8,,,Exception,Card name absent from Trader Tools
5,0,Necrite,Fallen Empires,24,Near Mint,English,,,,,,,,,Common,$0.15,necrite,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
7,0,Night // Day,Apocalypse,131,Near Mint,English,,,,,,,,,Uncommon,$0.18,night // day,apocalypse,,left_only,7,,,Exception,Split card absent from Trader Tools
7,0,Night Soil,Fallen Empires,80,Near Mint,English,,,,,,,,,Common,$0.16,night soil,fallen empires,,left_only,7,,,Exception,Card name absent from Trader Tools
7,0,Night Soil,Fallen Empires,81,Near Mint,English,,,,,,,,,Common,$0.18,night soil,fallen empires,,left_only,7,,,Exception,Card name absent from Trader Tools
4,0,Night Soil,Fallen Empires,82,Near Mint,English,,,,,,,,,Common,$0.18,night soil,fallen empires,,left_only,4,,,Exception,Card name absent from Trader Tools
8,8,Nightmare,Magic Origins,282,Near Mint,English,,,,,,,,0.0,Rare,$0.44,nightmare,magic origins,,left_only,8,,,Exception,"Name and edition exist, but pair does not match"
